City/Town,State,County,Latitude,Longitude,Avg Daily Irradiance,Est. Energy Production Per Day
Union Springs,NY,Cayuga,42.8457,-76.6909,3.7072,1.3346
Grover,WY,Lincoln,42.802,-110.9405,4.7533,1.7112
Kenwood,OK,Delaware,36.3012,-94.9978,4.5144,1.6252
Phoenix,IL,Cook,41.6118,-87.6308,3.9205,1.4114
Panama,OK,Le Flore,35.1711,-94.669,4.5001,1.62
Coal Fork,WV,Kanawha,38.3185,-81.5229,4.0256,1.4492
Shelburn,IN,Sullivan,39.1791,-87.3971,4.1231,1.4843
Melcher-Dallas,IA,Marion,41.227,-93.2416,4.2286,1.5223
Spencerville,MD,Montgomery,39.119,-76.9828,4.1694,1.501
Monticello,MS,Lawrence,31.5525,-90.1145,4.6422,1.6712
Point Marion,PA,Fayette,39.7354,-79.9008,3.904,1.4054
Lyndon,KS,Osage,38.612,-95.6844,4.4541,1.6035
Prince's Lakes,IN,Johnson,39.3514,-86.1094,4.0917,1.473
Vass,NC,Moore,35.2533,-79.2845,4.5281,1.6301
Saint John Fisher College,NY,Monroe,43.1143,-77.5108,3.6703,1.3213
Gray,TN,Washington,36.4219,-82.4767,4.3252,1.5571
Sebastian,TX,Willacy,26.3454,-97.7964,4.9024,1.7649
Bogart,GA,Oconee,33.9479,-83.5341,4.5944,1.654
Ansted,WV,Fayette,38.1356,-81.1038,4.0256,1.4492
Payson,IL,Adams,39.8169,-91.2443,4.2358,1.5249
Bellemont,AZ,Coconino,35.2425,-111.8138,5.6678,2.0404
Basin,WY,Big Horn,44.3804,-108.0466,4.3843,1.5783
Trabuco Canyon,CA,Orange,33.6782,-117.5939,5.4726,1.9701
Avondale,PA,Chester,39.8248,-75.7819,4.1793,1.5045
Taos,MO,Cole,38.5157,-92.0647,4.3139,1.553
Tellico Plains,TN,Monroe,35.3665,-84.2982,4.3995,1.5838
Libertytown,MD,Frederick,39.4859,-77.2482,4.0947,1.4741
Playa Fortuna,PR,Luquillo,18.3759,-65.746,5.6973,2.051
Byrdstown,TN,Pickett,36.5737,-85.1342,4.2755,1.5392
Ruckersville,VA,Greene,38.2314,-78.3756,4.2406,1.5266
Summerland,CA,Santa Barbara,34.4244,-119.5938,5.5726,2.0061
Seco Mines,TX,Maverick,28.7467,-100.5027,5.2576,1.8927
Rock Port,MO,Atchison,40.4109,-95.5332,4.3831,1.5779
Pine Lakes,FL,Lake,28.939,-81.4308,4.9408,1.7787
Buchanan Dam,TX,Llano,30.7807,-98.4392,5.0381,1.8137
La Huerta,NM,Eddy,32.4489,-104.2225,5.7221,2.06
Buffalo,OK,Harper,36.8374,-99.6465,5.0377,1.8136
